2,56,45,41,47
4,50,40,42,44
8,53,46,50,49
16,64,56,55,58
32,86,76,78,80
64,225,201,201,209
128,275,254,263,264
256,399,394,384,392
512,639,626,700,655
1024,874,852,851,859
2048,1685,1653,1656,1664
4096,3672,3755,3759,3728
8192,6400,6246,6248,6298
16384,15357,14738,14496,14863
32768,32070,29133,30481,30561
65536,82830,83384,82809,83007
131072,201463,181727,177626,186938
262144,469817,485250,524956,493341
524288,1329993,1307403,2145127,1594174
1048576,4516891,5818576,5921847,5419104
2097152,19294556,22560188,22458976,21437906
